1018,23
1017,36
1047,29
1009,23
1007,34
1030,33
1038,32
1043,22
1032,38
1013,34
1022,19
1022,22
1001,20
1016,40
1020,36
1015,25
1040,27
1026,18
1018,22
1038,33
1003,42
1037,35
1002,27
1047,39
1029,33
1006,44
1015,24
1027,29
1003,37
1046,35
1000,29
1000,35
1036,38
1023,44
1045,28
1009,39
1016,31
1033,34
1020,19
1012,22
1010,26
1047,32
1001,37
1038,32
1047,42
1028,23
1027,30
1030,38
1022,41
1039,35
1040,33
1039,31
1020,36
1011,28
1037,41
1021,21
1043,44
1016,36
1020,42
1038,20
1029,42
1037,39
1039,29
1047,34
1012,24
1011,33
1038,43
1000,41
1027,35
1003,27
1031,27
1047,18
1047,23
1009,19
1030,42
1021,38
1008,19
1015,27
1050,20
1040,29
1004,19
1050,23
1044,44
1043,37
1018,18
1021,28
1033,31
1045,35
1031,35
1006,31
1024,44
1022,30
1012,27
1028,41
1022,36
1017,43
1002,24
1004,26
1029,18
1023,36
1010,35
1027,36
1004,41
1026,43
1023,30
1024,44
1030,27
1023,21
1037,21
1006,26
1025,24
1005,19
1027,33
1009,35
1039,41
1011,39
1015,22
1013,32
1041,43
1022,19
1022,37
1002,33
1003,25
1043,36
1037,24
1021,22
1004,21
1035,44
1034,30
1035,32
1018,21
1022,30
1006,18
1024,37
1043,23
1009,38
1011,37
1009,39
1047,37
1007,29
1049,38
1001,25
1047,33
1043,24
1011,39
1011,35
1013,42
1025,30
1034,29
1030,33
1024,33
1004,23
1024,22
1012,23
1046,38
1041,37
1037,39
1004,31
1047,26
1026,35
1041,34
1017,22
1019,30
1006,18
1000,24
1028,31
1043,25
1037,31
1046,23
1007,42
1033,27
1010,44
1042,29
1050,23
1012,28
1012,36
1026,38
1022,43
1021,39
1031,39
1040,43
1036,21
1018,41
1046,44
1000,30
1026,27
1041,35
1020,38
1032,26
1018,43
1019,22
1015,36
1024,38
1046,31
1020,43
1038,30
1027,24
1050,29
1005,35
1017,20
1021,39
1012,28
1009,42
1041,36
1030,29
1025,23
1002,28
1015,26
1010,43
1044,37
1022,22
1049,35
1008,38
1029,22
1047,41
1027,35
1013,43
1025,36
1002,25
1047,40
1017,28
1029,26
1030,26
1002,24
1034,31
1014,24
1048,23
1006,38
1031,41
1040,23
1037,37
1038,30
1007,23
1013,41
1042,43
1042,34
1037,29
1047,29
1013,23
1001,40
1014,28
1018,34
1028,26
1031,43
1001,27
1005,34
1019,40
1002,31
1041,33
1003,24
1047,29
1037,28
1029,40
1037,32
1029,38
1029,35
1037,24
1020,26
1033,44
1002,28
1018,19
1024,32
1037,30
1039,42
1011,39
1000,21
1032,35
1013,30
1041,31
1035,33
1016,21
1017,22
1024,24
1013,37
1033,32
1033,44
1003,43
1030,31
1030,44
1024,24
1022,33
1027,22
1017,36
1017,18
1049,24
1021,21
1046,31
1021,18
1037,23
1016,22
1035,37
1004,18
1038,39
1006,34
1032,36
1007,27
1037,41
1020,27
1011,20
1007,39
1014,37
1027,32
1045,18
1040,18
1010,41
1042,29
1019,40
1002,30
1008,20
1022,37
1040,43
1012,20
1040,21
1022,21
1025,23
1033,19
1016,33
1030,34
1002,41
1015,25
1024,41
1009,25
1041,44
1016,30
1031,23
1025,29
1031,39
1019,22
1021,18
1017,25
1027,26
1013,30
1003,42
1004,32
1010,41
1046,33
1006,20
1017,38
1037,35
1005,30
1005,29
1035,24
1023,37
1020,36
1050,24
1042,42
1020,19
1045,43
1035,31
1050,29
1044,20
1016,30
1045,29
1020,22
1041,20
1012,38
1015,43
1042,29
1011,25
1049,36
1046,34
1001,42
1039,19
1000,39
1005,31
1044,44
1011,33
1036,44
1010,40
1012,21
1012,44
1045,39
1031,34
1027,22
1019,39
1019,33
1042,40
1022,38
1042,19
1045,20
1041,19
1005,20
1029,22
1003,40
1046,35
1041,44
1011,40
1019,30
1047,39
1034,29
1047,28
1039,19
1013,27
1039,43
1031,44
1042,33
1016,25
1048,28
1028,44
1031,28
1003,44
1030,38
1008,40
1030,26
1026,29
1046,27
1000,26
1026,22
1002,20
1043,28
1003,33
1032,33
1014,42
1033,31
1006,40
1037,36
1018,21
1025,20
1034,36
1027,36
1006,41
1029,35
1008,26
1039,37
1030,20
1020,28
1033,27
1016,44
1046,38
1024,44
1006,37
1048,38
